uniprot_id,protein_name,organism,classification,n_entries,pdb_codes
Q6AXG6,Kank1 protein,Mus musculus,CELL ADHESION,1,5ybe
Q8N6T7,NAD-dependent protein deacetylase sirtuin-6,Homo sapiens,HYDROLASE,1,6qcj
Q6B0I6,Lysine-specific demethylase 4D,Homo sapiens,OXIDOREDUCTASE,1,6ets
Q9UHD2,Serine/threonine-protein kinase TBK1,Homo sapiens,TRANSFERASE/TRANSFERASE INHIBITOR,1,4im0
Q9UGM1,Neuronal acetylcholine receptor subunit alpha-9,Homo sapiens,TOXIN,1,6hy7
Q8N543,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1,Homo sapiens,Oxidoreductase/Oxidoreductase inhibitor,1,4nhx
Q9UG22,GTPASE IMAP FAMILY MEMBER 2,Homo sapiens,IMMUNE SYSTEM,1,2xtn
Q7LYW4,archaeal transcriptional regulator TrmB,Thermococcus litoralis,TRANSCRIPTION,1,2f5t
P43254,E3 ubiquitin-protein ligase COP1,Arabidopsis thaliana,PLANT PROTEIN,1,6qtw
Q27450,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE 1,Brugia malayi,ISOMERASE/IMMUNOSUPPRESSANT,1,1c5f
O68183,APH(2'')-Id,Enterococcus casseliflavus,TRANSFERASE,1,5c4l
O66837,Biotin [acetyl-CoA-carboxylase] ligase,Aquifex aeolicus,LIGASE,1,3efs
O66809,Cell division protein ftsZ,Aquifex aeolicus,CELL CYCLE,1,2r75
O66264,Cellobiose Phosphorylase,Cellulomonas gilvus,TRANSFERASE/TRANSFERASE INHIBITOR,1,3qfy
O60894,"Maltose-binding periplasmic protein,Receptor activity-modifying protein 1,Calcitonin gene-related peptide type 1 receptor",Escherichia coli O157:H7,PEPTIDE BINDING PROTEIN,1,6d1u
O60880,T CELL SIGNAL TRANSDUCTION MOLECULE SAP,Homo sapiens,SIGNALING PROTEIN,1,1d4t
O60701,UDP-glucose 6-dehydrogenase,Homo sapiens,OXIDOREDUCTASE,1,5vr8
O58212,PUTATIVE UNCHARACTERIZED PROTEIN PH0463,Pyrococcus horikoshii OT3,TRANSFERASE,1,2wr8
O57947,"Ribose 1,5-bisphosphate isomerase",Pyrococcus horikoshii OT3,ISOMERASE,1,5yft
O57728,A-TYPE ATP SYNTHASE CATALYTIC SUBUNIT A,Pyrococcus horikoshii OT3,HYDROLASE,1,3i73
O55043,Rho guanine nucleotide exchange factor 7,Rattus norvegicus,SIGNALING PROTEIN,1,2df6
O53580,Long-chain-fatty-acid--AMP ligase FadD32,Mycobacterium tuberculosis H37Rv,LIGASE/LIGASE INHIBITOR,1,5hm3
O50260,AgaA,Agrobacterium tumefaciens,TRANSPORT PROTEIN,1,6hlx
O43781,Dual specificity tyrosine-phosphorylation-regulated kinase 3,Homo sapiens,SIGNALING PROTEIN,1,5y86
O43719,HIV Tat-specific factor 1,Homo sapiens,PEPTIDE BINDING PROTEIN,1,6nsx
O43683,Mitotic checkpoint serine/threonine-protein kinase BUB1,Homo sapiens,TRANSFERASE,1,6f7b
O43598,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,Homo sapiens,HYDROLASE,1,4p5e
O43353,Receptor-interacting serine/threonine-protein kinase 2,Homo sapiens,TRANSFERASE,1,6es0
O67135,HDLP (HISTONE DEACETYLASE-LIKE PROTEIN),Aquifex aeolicus,LYASE,1,1c3r
O74036,DNA REPAIR AND RECOMBINATION PROTEIN RADA,Pyrococcus furiosus,HYDROLASE,1,5fos
O95931,Chromobox protein homolog 7,Homo sapiens,TRANSCRIPTION REGULATOR,1,4mn3
O75608,Acyl-protein thioesterase 1,Homo sapiens,hydrolase/hydrolase inhibitor,1,5sym
O95696,Bromodomain-containing protein 1,Homo sapiens,TRANSCRIPTION,1,5n49
O95619,YEATS domain-containing protein 4,Homo sapiens,TRANSCRIPTION,1,5vnb
O95470,Sphingosine-1-phosphate lyase 1,Homo sapiens,Lyase/Lyase inhibitor,1,4q6r
O95453,Poly(A)-specific ribonuclease PARN,Homo sapiens,HYDROLASE,1,3ctr
O95445,APOLIPOPROTEIN M,Homo sapiens,LIPID TRANSPORT,1,2yg2
O95372,Acyl-protein thioesterase 2,Homo sapiens,hydrolase/hydrolase inhibitor,1,5syn
O95251,Histone acetyltransferase KAT7,Homo sapiens,antitumor protein/inhibitor,1,6maj
O95149,snurportin-1,Homo sapiens,TRANSPORT PROTEIN,1,1xk5
O95050,indolethylamine N-methyltransferase,Homo sapiens,TRANSFERASE,1,2a14
O93077,HCV NS5B POLYMERASE,Hepacivirus hominis,TRANSFERASE,1,1yvf
O92139,HIV-1 PROTEASE,Human immunodeficiency virus 1,HYDROLASE/INHIBITOR,1,2bqv
O92103,PROTEIN (PROTEASE),Human immunodeficiency virus 1,HYDROLASE,1,1c70
O88622,Poly(ADP-ribose) glycohydrolase,Mus musculus,HYDROLASE,1,4na4
O88339,EPSIN,Rattus norvegicus,ENDOCYTOSIS,1,1h0a
O85672,GLUCOAMYLASE,Thermoanaerobacterium thermosaccharolyticum,HYDROLASE,1,1lf9
O77421,PROTEIN (FEMALE-SPECIFIC HISTAMINE BINDING PROTEIN 2),Rhipicephalus appendiculatus,LIGAND BINDING PROTEIN,1,1qft
O76054,SEC14-like protein 2,Homo sapiens,TRANSPORT PROTEIN,1,4omj
O43293,Death-associated protein kinase 3,Homo sapiens,transferase/transferase inhibitor,1,5vja
O42721,Cell wall antigen,Talaromyces marneffei,LIPID BINDING PROTEIN,1,3l1n
O38732,Chemical analogue HIV-1 protease,,HYDROLASE/HYDROLASE INHIBITOR,1,3dcr
O38731,Protease,Human immunodeficiency virus 1,HYDROLASE,1,2i0d
O14842,"Free fatty acid receptor 1,Lysozyme",Homo sapiens,Fatty acid binding protein/Hydrolase,1,4phu
O14508,Suppressor of cytokine signaling 2,Homo sapiens,SIGNALING PROTEIN,1,6i5n
O13833,Poly(A) RNA polymerase protein cid1,Schizosaccharomyces pombe,TRANSFERASE,1,4nkt
O09893,PROTEIN (PROTEASE),Human immunodeficiency virus 1,HYDROLASE,1,1c6y
O00764,Pyridoxal kinase,Homo sapiens,TRANSFERASE/TRANSFERASE INHIBITOR,1,4en4
O00482,Nuclear receptor subfamily 5 group A member 2,Homo sapiens,NUCLEAR PROTEIN,1,5unj
O00443,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,Homo sapiens,TRANSFERASE,1,6bu0
O00329,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Homo sapiens,TRANSFERASE/TRANSFERASE INHIBITOR,1,6pyr
O00257,E3 SUMO-protein ligase CBX4,Homo sapiens,transcription/transcription inhibitor,1,5epl
M1E1E4,"Fusion glycoprotein F0, Envelope glycoprotein chimera",human respiratory syncytial virus,VIRAL PROTEIN/INHIBITOR,1,5kww
L0N7E5,Alpha-glucosidase,Beta vulgaris,"HYDROLASE, CARBOHYDRATE",1,3w37
K9N638,ORF1a,Middle East respiratory syndrome-related coronavirus,VIRAL PROTEIN,1,5dus
K0Y3H9,Sialic Acid Binding Protein,Pasteurella multocida subsp. gallicida P1059,SUGAR BINDING PROTEIN,1,4mmp
J9XXB7,Capsid protein VP1,Norovirus Hu/GII.1/7EK/Hawaii/1971/USA,VIRAL PROTEIN,1,6gvz
J9VNH4,CMGC/CK2 protein kinase,Cryptococcus neoformans H99,TRANSFERASE,1,6k3l
J9PBT4,ABC transporter,Caldanaerobius,TRANSPORT PROTEIN,1,4g68
I7FE16,Isoniazid inducible gene protein IniA,Mycolicibacterium smegmatis MC2 155,HYDROLASE,1,6j72
O15054,LYSINE-SPECIFIC DEMETHYLASE 6B,Homo sapiens,OXIDOREDUCTASE,1,4ask
O15264,Mitogen-activated protein kinase 13,Homo sapiens,Transferase/Transferase Inhibitor,1,4eyj
O15382,"Branched-chain-amino-acid aminotransferase, mitochondrial",Homo sapiens,TRANSFERASE,1,5i5x
O32393,ADENYLATE CYCLASE,Limnospira platensis,LYASE,1,2bw7
O38719,Protease,Human immunodeficiency virus 1,HYDROLASE,1,2q55
O38707,Protease,Human immunodeficiency virus 1,HYDROLASE,1,2psv
O35718,Suppressor of cytokine signaling 3,Mus musculus,Cytokine Regulator,1,2hmh
O34911,ykoF,Bacillus subtilis,LIGAND BINDING PROTEIN,1,1sbr
O34738,Putative HMP/thiamine permease protein YkoE,Bacillus subtilis,TRANSPORT PROTEIN,1,5edl
O33877,3-HYDROXYDECANOYL-[ACYL-CARRIER-PROTEIN] DEHYDRATASE,Pseudomonas aeruginosa PAO1,LYASE,1,4cl6
O32449,Proline iminopeptidase,Serratia marcescens,HYDROLASE,1,1wm1
O32243,Glycine betaine/carnitine/choline-binding protein,Bacillus subtilis,TRANSPORT PROTEIN,1,3ppp
O15460,Prolyl 4-hydroxylase subunit alpha-2,Homo sapiens,HYDROLASE,1,6evo
O31927,SPBc2 prophage-derived uncharacterized protein YopK,Bacillus subtilis subsp. subtilis str. 168,DNA BINDING PROTEIN,1,6hp5
O28625,Prenyltransferase,Archaeoglobus fulgidus DSM 4304,TRANSFERASE,1,4tq3
O28527,Nitrogen regulatory protein P-II (GlnB-2),Archaeoglobus fulgidus,SIGNALING PROTEIN,1,3ncq
O27402,Precorrin-2 methyltransferase,Methanothermobacter thermautotrophicus str. Delta H,TRANSFERASE,1,2qbu
O25928,(3R)-hydroxymyristoyl-acyl carrier protein dehydratase,Helicobacter pylori SS1,LYASE,1,2glp
O25560,Hydrogenase/urease nickel incorporation protein HypB,Helicobacter pylori 26695,METAL BINDING PROTEIN,1,4lps
O25294,Cytosol aminopeptidase,Helicobacter pylori 26695,HYDROLASE/HYDROLASE inhibitor,1,4zla
O95749,Geranylgeranyl pyrophosphate synthase,Homo sapiens,TRANSFERASE,1,6r4v
P00183,Cytochrome P450-cam,Pseudomonas putida,OXIDOREDUCTASE,1,2z97
I6Y8T4,3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE 1,Mycobacterium tuberculosis H37Rv,TRANSFERASE,1,4c72
P07814,Bifunctional glutamate/proline--tRNA ligase,Homo sapiens,LIGASE/LIGASE inhibitor,1,5vad
P07678,ATP synthase epsilon chain,Bacillus sp. PS3,HYDROLASE,1,2e5y
P07378,3-PHOSPHOGLYCERATE KINASE,Trypanosoma brucei,KINASE,1,16pk
P06999,6-phosphofructokinase isozyme 2,Escherichia coli K-12,TRANSFERASE,1,3n1c
P06869,Urokinase-type plasminogen activator B,Mus musculus,HYDROLASE/HYDROLASE INHIBITOR,1,6a8n
P06745,Glucose-6-phosphate isomerase,Mus musculus,ISOMERASE,1,1u0g
P06710,DNA polymerase III subunit gamma,Escherichia coli,TRANSFERASE,1,1njf
P06709,Bifunctional ligase/repressor BirA,Escherichia coli K-12,LIGASE,1,4wf2
P06672,PYRUVATE DECARBOXYLASE,Zymomonas mobilis,LYASE,1,2wva
P06280,Alpha-galactosidase A,Homo sapiens,HYDROLASE/HYDROLASE INHIBITOR,1,3s5y
P06241,Tyrosine-protein kinase Fyn,Homo sapiens,SIGNALING PROTEIN,1,4znx
P06009,REACTION CENTER PROTEIN L CHAIN,Blastochloris viridis,ELECTRON TRANSPORT,1,2jbl
P05556,Integrin beta-1,Homo sapiens,CELL ADHESION/IMMUNE SYSTEM,1,4wk2
P05414,GLYCOLATE OXIDASE,Spinacia oleracea,FLAVOPROTEIN,1,1al8
P05230,Heparin-binding growth factor 1,Homo sapiens,HORMONE,1,3ud8
P05020,Dihydroorotase,Escherichia coli,HYDROLASE,1,2eg7
P04918,Serum amyloid A-3 protein,Mus musculus,TRANSPORT PROTEIN,1,6py0
P04789,TRIOSEPHOSPHATE ISOMERASE,Trypanosoma brucei brucei,INTRAMOLECULAR OXIDOREDUCTASE,1,1trd
P07700,Beta-1 adrenergic receptor,Meleagris gallopavo,IMMUNE SYSTEM,1,6h7n
P07822,FERRICHROME-BINDING PERIPLASMIC PROTEIN,Escherichia coli,METAL TRANSPORT,1,1esz
P00349,6-PHOSPHOGLUCONATE DEHYDROGENASE,Ovis aries,OXIDOREDUCTASE (CHOH(D)-NADP+(A)),1,1pgp
P07901,Hsp90aa1 protein,Mus musculus,CHAPERONE/INHIBITOR,1,5h22
P0A1R0,PROTEIN HFQ,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,RNA BINDING PROTEIN,1,2ylc
P0A078,methionyl aminopeptidase,Staphylococcus aureus,HYDROLASE,1,1qxw
P0A017,DIHYDROFOLATE REDUCTASE,Staphylococcus aureus,OXIDOREDUCTASE,1,2w9h
P09838,DNA nucleotidylexotransferase,Mus musculus,TRANSFERASE/TRANSFERASE INHIBITOR,1,4iqu
P09616,Alpha-hemolysin,Staphylococcus aureus,CELL INVASION,1,3m3r
P09411,Phosphoglycerate kinase 1,Mus musculus,TRANSFERASE/TRANSFERASE ACTIVATOR,1,4o3f
P09391,RHOMBOID PROTEASE GLPG,Escherichia coli BL21(DE3),HYDROLASE,1,3zeb
P09382,Galectin-1,Homo sapiens,SUGAR BINDING PROTEIN,1,4y24
P08922,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE ROS,Homo sapiens,TRANSFERASE,1,3zbf
P08799,MYOSIN,Dictyostelium discoideum,CONTRACTILE PROTEIN,1,1lvk
P08567,Pleckstrin,Homo sapiens,LIPID BINDING PROTEIN,1,2i5f
P08559,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",Homo sapiens,OXIDOREDUCTASE,1,3exe
P08514,Integrin alphaIIB beta3,Homo sapiens,CELL ADHESION/BLOOD CLOTTING,1,3nif
P08337,Mutator mutT protein,Escherichia coli K-12,HYDROLASE,1,3a6t
P08311,Cathepsin G,Homo sapiens,HYDROLASE,1,1t32
P08263,Glutathione S-transferase A1,Homo sapiens,TRANSFERASE,1,1ydk
P08244,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE,Escherichia coli,LYASE,1,1eix
P04626,Receptor tyrosine-protein kinase erbB-2,Homo sapiens,TRANSFERASE/TRANSFERASE INHIBITOR,1,3pp0
P04574,CALPAIN,Sus scrofa,CALCIUM BINDING,1,1alw
P04483,"TETRACYCLINE REPRESSOR PROTEIN CLASS B FROM TRANSPOSON TN10, TETRACYCLINE REPRESSOR PROTEIN CLASS D",Escherichia coli,TRANSCRIPTION,1,3zqi
P04391,ORNITHINE TRANSCARBAMOYLASE,Escherichia coli,TRANSFERASE,1,1duv
P01024,Complement C3,Homo sapiens,Immune system/hydrolase inhibitor,1,2qki
P00959,Methionyl-tRNA synthetase,Escherichia coli,LIGASE,1,1pfy
P00950,PROTEIN (PHOSPHOGLYCERATE MUTASE 1),Saccharomyces cerevisiae,ISOMERASE,1,1bq4
P00947,STEROID DELTA-ISOMERASE,Comamonas testosteroni,ISOMERASE,1,1ogz
P00875,RIBULOSE BISPHOSPHATE CARBOXYLASE/OXYGENASE,Spinacia oleracea,LYASE,1,1rbo
P00803,SIGNAL PEPTIDASE I,Escherichia coli,HYDROLASE/ANTIBIOTIC,1,1t7d
P00778,ALPHA-LYTIC PROTEASE,Lysobacter enzymogenes,HYDROLASE/HYDROLASE INHIBITOR,1,2h5d
P00776,PROTEINASE A (SGPA),Streptomyces griseus,HYDROLASE/HYDROLASE INHIBITOR,1,4sga
P00690,ALPHA-AMYLASE,Sus scrofa,HYDROLASE (O-GLYCOSYL),1,1ppi
P00651,RIBONUCLEASE T1 ISOZYME,Aspergillus oryzae,HYDROLASE(ENDORIBONUCLEASE),1,1rnt
P00592,"Phospholipase A2, major isoenzyme",Sus scrofa,HYDROLASE,1,3qlm
P00572,THYMIDYLATE KINASE,Saccharomyces cerevisiae,KINASE,1,3tmk
P00490,MALTODEXTRIN PHOSPHORYLASE,Escherichia coli,PHOSPHORYLASE,1,1qm5
P00484,TYPE III CHLORAMPHENICOL ACETYLTRANSFERASE,Shigella flexneri,TRANSFERASE (ACYLTRANSFERASE),1,1qca
P00480,PROTEIN (ORNITHINE TRANSCARBAMOYLASE),Homo sapiens,TRANSFERASE,1,1oth
P00451,Coagulation factor VIII,Homo sapiens,BLOOD CLOTTING,1,3hnb
P00441,Superoxide dismutase [Cu-Zn],Homo sapiens,OXIDOREDUCTASE/INHIBITOR,1,6a9o
P01112,TRANSFORMING PROTEIN P21/H-RAS-1,Homo sapiens,HYDROLASE,1,1clu
P01375,"Tumor necrosis factor (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) (Cachectin) [Contains: Tumor necrosis factor, membrane form; Tumor necrosis factor, soluble form]",Homo sapiens,CYTOKINE,1,2az5
P01556,Cholera enterotoxin B-subunit,Vibrio cholerae,TOXIN,1,6hmy
P02751,Fibronectin,Homo sapiens,CELL ADHESION,1,4pz5
P04036,DIHYDRODIPICOLINATE REDUCTASE,Escherichia coli,OXIDOREDUCTASE,1,1drv
P04015,HPV11 REGULATORY PROTEIN E2,human papillomavirus 11,"TRANSCRIPTION, REPLICATION",1,1r6n
P03420,Fusion glycoprotein F0,Human respiratory syncytial virus A2,CELL INVASION/INHIBITOR,1,5ea4
P03322,PROTEASE,Rous sarcoma virus,HYDROLASE/HYDROLASE INHIBITOR,1,1bai
P03147,Capsid protein,Hepatitis B virus subtype adyw,VIRAL PROTEIN,1,6j10
P03072,Large T antigen,JC polyomavirus,HYDROLASE/INHIBITOR,1,5j47
P02866,Concanavalin-A,Canavalia ensiformis,SUGAR BINDING PROTEIN,1,4pf5
P02747,Complement C1q subcomponent subunit C,Homo sapiens,IMMUNE SYSTEM,1,2jg8
P01660,6C8 light chain,Mus musculus,IMMUNE SYSTEM,1,4nja
P02743,Serum amyloid P-component,Homo sapiens,METAL BINDING PROTEIN,1,2a3w
P02692,LIVER FATTY ACID BINDING PROTEIN,Rattus norvegicus,INTRACELLULAR LIPID TRANSPORT PROTEIN,1,1lfo
P01869,29G11 FAB (HEAVY CHAIN),Mus musculus,CATALYTIC ANTIBODY,1,1a0q
P01867,BLUE FLUORESCENT ANTIBODY (19G2)-HEAVY CHAIN,Mus musculus,IMMUNE SYSTEM,1,1fl3
P01865,4-4-20 (IG*G2A=KAPPA=) FAB FRAGMENT,Mus musculus,IMMUNOGLOBULIN,1,1flr
P01844,13F6-1-2 Fab fragment V lambda x light chain,Mus musculus,Immune system/viral protein,1,2qhr
P01724,PROTEIN (ANTIBODY M3C65 (LIGHT CHAIN)),Mus musculus,IMMUNE SYSTEM,1,1dl7
I7B368,Glutathione transferase,Phanerodontia chrysosporium,TRANSFERASE,1,4f0c
I6V0C7,ATPase RIL,Pyrococcus furiosus COM1,TRANSLATION,1,5yv5
Q26710,"Alternative oxidase, mitochondrial",Trypanosoma brucei brucei,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR,1,3w54
A4Q998,Purine nucleoside phosphorylase,Anopheles gambiae,TRANSFERASE,1,2p4s
A3MWN5,Actin/actin family protein,Pyrobaculum calidifontis,STRUCTURAL PROTEIN,1,5ly3
A2YPH1,Beta-mannosidase/beta-glucosidase,Oryza sativa Indica Group,HYDROLASE,1,4re4
A2RMJ9,Biotin transporter BioY,Lactococcus cremoris subsp. cremoris MG1363,TRANSPORT PROTEIN,1,4dve
A2RI47,Thiamine transporter ThiT,Lactococcus cremoris subsp. cremoris MG1363,PROTEIN BINDING,1,4pop
A2IC68,FIMH,Escherichia coli UTI89,CELL ADHESION,1,4buq
A1JJJ9,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,Yersinia enterocolitica,HYDROLASE,1,3nzk
A1ILL9,Neuraminidase,Influenza A virus (A/duck/Alberta/60/1976(H12N5)),HYDROLASE/HYDROLASE INHIBITOR,1,3ti8
A0ZNP5,hNV-RdRp,Norwalk-like virus,VIRAL PROTEIN/TRANSCRIPTION INHIBITOR,1,4nrt
A0ZNP3,Capsid protein,Norwalk-like virus,VIRAL PROTEIN,1,6gw4
A0QYW6,UNIVERSAL STRESS PROTEIN,Mycolicibacterium smegmatis MC2 155,SIGNALING PROTEIN,1,5ahw
A0QWG6,PHOSPHATIDYLINOSITOL MANNOSYLTRANSFERASE (PimA),Mycolicibacterium smegmatis MC2 155,TRANSFERASE,1,2gek
A0QV09,ALDO-KETO REDUCTASE,Mycolicibacterium smegmatis MC2 155,OXIDOREDUCTASE,1,2wzm
A0QND6,DNA POLYMERASE III SUBUNIT BETA,Mycolicibacterium smegmatis,TRANSFERASE/ANTIBIOTIC,1,5ah2
A0F6C5,PROTEASE RETROPEPSIN,Human immunodeficiency virus 1,HYDROLASE,1,2rkg
A0ACD6B942,AlgQ1,Sphingomonas sp. A1,SUGAR BINDING PROTEIN,1,1y3n
A0ACD6B8F0,ABC transporter periplasmic peptide-binding protein,Pseudoalteromonas sp. SM9913,PEPTIDE BINDING PROTEIN,1,4qfl
A0ACD6B856,Putative uncharacterized protein orf60T,Vibrio phage VP16T,HYDROLASE,1,5mte
A3XHF9,"Ribonucleoside-diphosphate reductase, beta subunit 1",Leeuwenhoekiella blandensis MED217,OXIDOREDUCTASE,1,5olk
A4ZF98,DUTPase,Dubowvirus dv80alpha,HYDROLASE,1,5nyz
B0RM05,Diguanylate cyclase,Xanthomonas campestris pv. campestris str. B100,BIOSYNTHETIC PROTEIN,1,5h5o
A5HC98,RNA POLYMERASE L,La Crosse virus,TRANSFERASE,1,2xi7
A9CGA5,"ABC transporter, substrate binding protein (Polyamine)",Agrobacterium fabrum str. C58,TRANSPORT PROTEIN,1,4euo
A9CEZ0,Alpha-glucosidase yihQ,Agrobacterium tumefaciens,HYDROLASE,1,5ohy
A8W790,Galacto-N-biose/lacto-N-biose I transporter substrate-binding protein,Bifidobacterium longum,SUGAR BINDING PROTEIN,1,2z8e
A8IYS5,Septin-like protein,Chlamydomonas reinhardtii,HYDROLASE,1,5irr
A8GFD6,Glycoside hydrolase family 18,Serratia proteamaculans 568,HYDROLASE,1,6hm1
A7ZHQ1,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,Escherichia coli O139:H28 str. E24377A,hydrolase/hydrolase inhibitor,1,4wkc
A7YYL1,XENAVIDIN,Xenopus tropicalis,GLYCOPROTEIN,1,2uyw
A7YT55,Hdac6 protein,Danio rerio,HYDROLASE/HYDROLASE INHIBITOR,1,6cgp
A6XNE6,Coniferyl alcohol 9-O-methyltransferase,Linum nodiflorum,TRANSFERASE,1,4e70
A6TF32,FERROUS IRON TRANSPORT PROTEIN B,Klebsiella pneumoniae,METAL TRANSPORT,1,2wic
A6QHR2,tyrosyl-tRNA synthetase,Staphylococcus aureus,LIGASE,1,1jil
A5W4E3,Sensor histidine kinase TodS,Pseudomonas putida F1,TRANSFERASE,1,5hwv
A5VWI3,Beta-lactamase domain protein,Pseudomonas putida F1,HYDROLASE,1,4ysl
A5U9I4,TetR-family transcriptional regulatory repressor protein,Mycobacterium tuberculosis H37Ra,TRANSCRIPTION,1,5ioy
A5LBQ6,"PROBABLE SUGAR ABC TRANSPORTER, SUGAR-BINDING PROTEIN",Streptococcus pneumoniae SP3-BS71,SUGAR BINDING PROTEIN,1,2w7y
A5KE01,Adenosine deaminase,Plasmodium vivax,HYDROLASE,1,3ewc
A5K4U6,Farnesyl pyrophosphate synthase,Plasmodium vivax Sal-1,TRANSFERASE,1,3ldw
A0A5S8WFA6,exosialidase from uncultured bacterium pG7,uncultured bacterium pG7,HYDROLASE,1,6s0e
A0A5P8YCA3,"7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase",Yersinia pestis,TRANSFERASE,1,2qx0
A0A4Y1WAP5,Prolyl 4-Hydroxylase,Bacillus anthracis,OXIDOREDUCTASE,1,5hv0
A0A4S8L4Q5,dbOphM,Dendrothele bispora CBS 962.96,BIOSYNTHETIC PROTEIN,1,6mjf
A0A0J7JFD7,Acetylpolyamine amidohydrolase,Marinobacter subterrani,HYDROLASE/INHIBITOR,1,6phr
A0A0H3NMP8,Type III secretion system effector protein,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,TOXIN,1,6eyt
A0A0H3K6A3,Staphylococcal enterotoxin-like toxin,Staphylococcus aureus subsp. aureus str. Newman,SUGAR BINDING PROTEIN,1,4dxg
A0A0H3JZJ4,Peptide deformylase,Synechococcus elongatus PCC 6301,HYDROLASE/HYDROLASE INHIBITOR,1,4dr9
A0A0H3JWU6,Ferric hydroxamate receptor 2,Staphylococcus aureus,METAL BINDING PROTEIN,1,4fil
A0A0H3GM04,FosA family fosfomycin resistance glutathione transferase,Klebsiella pneumoniae,TRANSFERASE/INHIBITOR,1,6c3u
A0A0H3C834,"Sugar ABC transporter, periplasmic sugar-binding protein",Caulobacter vibrioides CB15,TRANSPORT PROTEIN,1,4irx
A0A0H3AES3,Methyl-accepting chemotaxis (MCP) signaling domain protein,Vibrio cholerae,SIGNALING PROTEIN,1,5ave
A0A0H2ZE85,FUCOSE-BINDING LECTIN PA-IIL,Pseudomonas aeruginosa UCBPP-PA14,SUGAR BINDING PROTEIN,1,5a6x
A0A0H2ZD98,Putative uncharacterized protein pelD,Pseudomonas aeruginosa UCBPP-PA14,Nucleotide-binding Protein,1,4dn0
A0A0H2WXZ7,PstA,Staphylococcus aureus subsp. aureus COL,SIGNALING PROTEIN,1,4wk1
A0A0H2UPT5,"Iron-compound ABC transporter, iron compound-binding protein",Streptococcus pneumoniae TIGR4,TRANSPORT PROTEIN,1,4hmq
A0A0H2UPS5,Aspartate beta-semialdehyde dehydrogenase,Streptococcus pneumoniae,OXIDOREDUCTASE,1,2gz2
A0A0H2UP19,BETA-GALACTOSIDASE,Streptococcus pneumoniae TIGR4,HYDROLASE,1,4cu7
A0A0H2UNK6,Mevalonate kinase,Streptococcus pneumoniae,TRANSFERASE,1,2oi2
A0A087WNH6,Adenosylhomocysteinase,Bradyrhizobium elkanii,HYDROLASE,1,6exi
A0A078SUX9,"Glycosyl hydrolases family 2, sugar binding domain protein",Bacteroides uniformis str. 3978 T3 ii,HYDROLASE,1,6d50
A0A0J9X1Y8,Polymerase basic protein 2,Influenza B virus,VIRAL PROTEIN,1,4or6
A0A0J9X1Z9,Guanylate kinase,Staphylococcus aureus USA300-ISMMS1,TRANSFERASE,1,4qrh
A0A0J9X288,Transcriptional regulator,Streptococcus dysgalactiae,DNA BINDING PROTEIN/INHIBITOR,1,4yv9
A0A1C9J6A7,(+)-limonene synthase,Citrus sinensis,LYASE,1,5uv1
A0A3Q9Y393,Heme-binding protein A,Helicobacter pylori,TRANSPORT PROTEIN,1,6pu3
A0A3Q0KJ78,Nucleoside diphosphate kinase,Schistosoma mansoni,TRANSFERASE,1,5kk8
A0A315GY36,Metal-binding protein ZinT,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. CVM23701",METAL BINDING PROTEIN,1,4aw8
A0A2T6C3M6,Fucose-binding lectin,Kordia periserrulae,SUGAR BINDING PROTEIN,1,6htn
A0A1X8XLE9,Ancestral Glucocorticoid Receptor2,unidentified,HORMONE RECEPTOR,1,5ufs
A0A1S0ZXA5,TetR family transcriptional regulator,Salmonella enterica,TRANSCRIPTION,1,6ayh
A0A1D5B395,Wisteria floribunda agglutinin,Wisteria floribunda,SUGAR BINDING PROTEIN,1,5kxc
A0A173FE28,Beta-lactamase VIM-2,Klebsiella pneumoniae,HYDROLASE,1,5o7n
A0A0L7KHE6,M17 LEUCYL-AMINOPEPTIDASE,Plasmodium falciparum HB3,hydrolase/hydrolase inhibitor,1,6eee
A0A156C5X3,Periplasmic trehalase,Enterobacter cloacae,HYDROLASE,1,5z66
A0A0R4I985,PcUre2p8,Phanerodontia chrysosporium,TRANSFERASE,1,4zba
A0A0R4I981,PcUre2p6,Phanerodontia chrysosporium,TRANSFERASE,1,4zb8
A0A0R4I980,PcUre2p4,Phanerodontia chrysosporium,TRANSFERASE,1,4zb6
